scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
688285,高铁电气,A股,上交所科创板,2021-06-25T00:00:00,2021-03-31T00:00:00,0.12,0.1134,300828580.46,19.7669,-13.5129,33863174.35,20.9902,60.3464,4.7,2.6171081,-0.218532,24.9629,交运设备,-,-,058001001,069001001006,2021-05-07T00:00:00
688793,倍轻松,A股,上交所科创板,2021-06-25T00:00:00,2021-03-31T00:00:00,0.24,0.21,214891263.85,62.424,-29.3168,11132709.49,190.8007,-70.6554,4.64,5.31091778,-0.364305,56.6994,家电行业,-,-,058001001,069001001006,2021-06-25T00:00:00
301026,浩通科技,A股,深交所创业板,2021-06-25T00:00:00,2021-03-31T00:00:00,0.8356,0.8038,468702643.28,207.5398,13.3158,71023722.03,759.9248,68.6044,11.89,7.44742119,2.726298,16.3942,小金属,-,-,058001001,069001002002,2021-06-25T00:00:00
301025,读客文化,A股,深交所创业板,2021-06-24T00:00:00,2021-03-31T00:00:00,0.02,0.01,103056490.62,60.1854,-22.4181,6511672.09,211.0434,-64.4272,1.26,1.44046725,-0.060135,33.4657,文化传媒,-,-,058001001,069001002002,2021-06-24T00:00:00
002669,康达新材,A股,深交所主板,2021-06-23T00:00:00,2021-03-31T00:00:00,0.12,-,386637642.5,79.8183,-37.013,30221561.79,36.8616,1.7128,1.3,9.256356,-0.128318,24.8392,化学制品,-,-,058001001,069001002001,2021-04-27T00:00:00
688038,中科通达,A股,上交所科创板,2021-06-23T00:00:00,2021-03-31T00:00:00,0.06,0.0529,62543237.82,179.9848,-74.8528,5183500.39,97.3413,-82.9325,1.02,5.83558525,-0.654717,32.9052,软件开发,-,-,058001001,069001001006,2021-06-23T00:00:00
301023,江南奕帆,A股,深交所创业板,2021-06-23T00:00:00,2021-03-31T00:00:00,0.49,0.46,40077348.5,44.6269,-22.1862,13718591.01,35.629,-20.2042,5.09,9.87788983,0.294482,47.6104,电机,-,-,058001001,069001002002,2021-06-23T00:00:00
688799,华纳药厂,A股,上交所科创板,2021-06-23T00:00:00,2021-03-31T00:00:00,0.48,0.38,237148716.11,29.7263,-24.2999,33477451.3,38.0044,-38.2846,4.92,9.90792674,0.616441,72.1368,化学制药,-,-,058001001,069001001006,2021-06-23T00:00:00
605020,永和股份,A股,上交所主板,2021-06-22T00:00:00,2021-03-31T00:00:00,0.25,-,607201218.77,29.6083,17.5025,50100546.54,17.1719,100.7034,-,6.92576511,0.102189,25.3247,化学制品,-,-,058001001,069001001001,2021-06-22T00:00:00
688789,宏华数科,A股,上交所科创板,2021-06-21T00:00:00,2021-03-31T00:00:00,0.98,0.98,220556420.82,71.4224,-20.6731,55889660.23,55.1903,-14.1053,7.25,14.01783155,-0.074084,41.8258,专用设备,-,-,058001001,069001001006,2021-06-21T00:00:00
301039,中集车辆,A股,深交所创业板,2021-06-21T00:00:00,2021-03-31T00:00:00,0.11,0.11,6869738891.92,68.2537,-10.7541,202857700.67,130.1565,-23.4229,2.02,5.75683371,0.008352,11.2912,汽车整车,-,-,058001001,069001002002,2021-06-21T00:00:00
